"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Nov 29 22:54:52 GMT 2020","Sun Nov 29 22:54:52 GMT 2020","53","","","","","","2 Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 22:54:50 GMT 2020","Sun Nov 29 22:54:50 GMT 2020","49","","","","","","7 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 22:54:50 GMT 2020","Sun Nov 29 22:54:50 GMT 2020","50","","","","","","9 Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 22:54:52 GMT 2020","Sun Nov 29 22:54:52 GMT 2020","50","","","","","","6 Validate left menu -- @1.1 ",""
"skipped","Sun Nov 29 22:54:51 GMT 2020","Sun Nov 29 22:54:51 GMT 2020","51","","","","","","1 Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 22:54:49 GMT 2020","Sun Nov 29 22:54:49 GMT 2020","49","","","","","","10 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 22:54:50 GMT 2020","Sun Nov 29 22:54:50 GMT 2020","57","","","","","","7 Validate left menu -- @1.5 ",""
"broken","Sun Nov 29 22:52:49 GMT 2020","Sun Nov 29 22:54:51 GMT 2020","121393","","","","","","Validate search",""
"passed","Sun Nov 29 22:55:01 GMT 2020","Sun Nov 29 22:55:04 GMT 2020","2686","","","","","","3 Validate left menu -- @1.1 ",""
"skipped","Sun Nov 29 22:54:51 GMT 2020","Sun Nov 29 22:54:51 GMT 2020","50","","","","","","Validate left menu -- @1.5 ",""
"skipped","Sun Nov 29 22:54:54 GMT 2020","Sun Nov 29 22:54:54 GMT 2020","54","","","","","","5 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 22:54:52 GMT 2020","Sun Nov 29 22:54:53 GMT 2020","68","","","","","","6 Validate left menu -- @1.4 ",""
"broken","Sun Nov 29 22:52:51 GMT 2020","Sun Nov 29 22:54:49 GMT 2020","117730","","","","","","10 Validate search",""
"skipped","Sun Nov 29 22:54:50 GMT 2020","Sun Nov 29 22:54:50 GMT 2020","49","","","","","","9 Validate left menu -- @1.1 ",""
"broken","Sun Nov 29 22:52:53 GMT 2020","Sun Nov 29 22:54:54 GMT 2020","120679","","","","","","5 Validate search",""
"passed","Sun Nov 29 22:55:09 GMT 2020","Sun Nov 29 22:55:12 GMT 2020","3375","","","","","","3 Validate left menu -- @1.3 ",""
"skipped","Sun Nov 29 22:54:54 GMT 2020","Sun Nov 29 22:54:54 GMT 2020","53","","","","","","5 Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 22:54:51 GMT 2020","Sun Nov 29 22:54:51 GMT 2020","51","","","","","","Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:52:48 GMT 2020","Sun Nov 29 22:54:58 GMT 2020","129797","","","","","","Invalid login - data table",""
"skipped","Sun Nov 29 22:54:52 GMT 2020","Sun Nov 29 22:54:52 GMT 2020","52","","","","","","4 Validate left menu -- @1.1 ",""
"skipped","Sun Nov 29 22:54:52 GMT 2020","Sun Nov 29 22:54:52 GMT 2020","51","","","","","","2 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 22:54:50 GMT 2020","Sun Nov 29 22:54:50 GMT 2020","51","","","","","","7 Validate left menu -- @1.1 ",""
"skipped","Sun Nov 29 22:54:52 GMT 2020","Sun Nov 29 22:54:52 GMT 2020","50","","","","","","6 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 22:54:53 GMT 2020","Sun Nov 29 22:54:53 GMT 2020","50","","","","","","6 Validate left menu -- @1.5 ",""
"broken","Sun Nov 29 22:52:52 GMT 2020","Sun Nov 29 22:54:51 GMT 2020","119365","","","","","","1 Validate search",""
