"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Nov 29 23:05:06 GMT 2020","Sun Nov 29 23:05:06 GMT 2020","51","","","","","","4 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 23:05:03 GMT 2020","Sun Nov 29 23:05:03 GMT 2020","61","","","","","","5 Validate left menu -- @1.1 ",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","57","","","","","","3 Validate left menu -- @1.1 ",""
"skipped","Sun Nov 29 23:05:06 GMT 2020","Sun Nov 29 23:05:06 GMT 2020","52","","","","","","10 Validate left menu -- @1.3 ",""
"skipped","Sun Nov 29 23:05:06 GMT 2020","Sun Nov 29 23:05:06 GMT 2020","56","","","","","","10 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","49","","","","","","3 Validate left menu -- @1.3 ",""
"skipped","Sun Nov 29 23:05:05 GMT 2020","Sun Nov 29 23:05:05 GMT 2020","55","","","","","","6 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 23:03:06 GMT 2020","Sun Nov 29 23:03:43 GMT 2020","37431","","","","","","4 Validate search",""
"skipped","Sun Nov 29 23:05:03 GMT 2020","Sun Nov 29 23:05:03 GMT 2020","51","","","","","","1 Validate left menu -- @1.5 ",""
"skipped","Sun Nov 29 23:05:05 GMT 2020","Sun Nov 29 23:05:05 GMT 2020","51","","","","","","6 Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 23:05:01 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","62","","","","","","Validate left menu -- @1.5 ",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","49","","","","","","2 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 23:05:25 GMT 2020","Sun Nov 29 23:05:33 GMT 2020","7906","","","","","","8 Validate left menu -- @1.2 ",""
"broken","Sun Nov 29 23:03:03 GMT 2020","Sun Nov 29 23:05:12 GMT 2020","128633","","","","","","Invalid login - data table",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","50","","","","","","2 Validate left menu -- @1.3 ",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","54","","","","","","3 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 23:05:05 GMT 2020","Sun Nov 29 23:05:05 GMT 2020","50","","","","","","6 Validate left menu -- @1.5 ",""
"broken","Sun Nov 29 23:03:02 GMT 2020","Sun Nov 29 23:05:02 GMT 2020","119998","","","","","","1 Validate search",""
"skipped","Sun Nov 29 23:05:01 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","50","","","","","","7 Validate left menu -- @1.5 ",""
"skipped","Sun Nov 29 23:05:03 GMT 2020","Sun Nov 29 23:05:04 GMT 2020","51","","","","","","5 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 23:03:04 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","123989","","","","","","2 Validate search",""
"passed","Sun Nov 29 23:05:38 GMT 2020","Sun Nov 29 23:05:41 GMT 2020","2664","","","","","","9 Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 23:05:06 GMT 2020","Sun Nov 29 23:05:06 GMT 2020","50","","","","","","10 Validate left menu -- @1.5 ",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","52","","","","","","2 Validate left menu -- @1.5 ",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","51","","","","","","3 Validate left menu -- @1.5 ",""
"skipped","Sun Nov 29 23:05:05 GMT 2020","Sun Nov 29 23:05:05 GMT 2020","52","","","","","","6 Validate left menu -- @1.1 ",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","51","","","","","","2 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 23:05:14 GMT 2020","Sun Nov 29 23:05:21 GMT 2020","7204","","","","","","9 Validate search",""
"passed","Sun Nov 29 23:05:14 GMT 2020","Sun Nov 29 23:05:21 GMT 2020","6862","","","","","","8 Validate search",""
"skipped","Sun Nov 29 23:05:06 GMT 2020","Sun Nov 29 23:05:06 GMT 2020","64","","","","","","10 Validate left menu -- @1.4 ",""
"broken","Sun Nov 29 23:03:04 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","116441","","","","","","Validate search",""
"skipped","Sun Nov 29 23:05:01 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","52","","","","","","Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 23:05:04 GMT 2020","Sun Nov 29 23:05:04 GMT 2020","52","","","","","","5 Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 23:05:01 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","51","","","","","","7 Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 23:05:01 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","52","","","","","","7 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 23:05:21 GMT 2020","Sun Nov 29 23:05:25 GMT 2020","3808","","","","","","8 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 23:03:03 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","124280","","","","","","3 Validate search",""
"skipped","Sun Nov 29 23:05:02 GMT 2020","Sun Nov 29 23:05:02 GMT 2020","50","","","","","","1 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","53","","","","","","2 Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 23:05:04 GMT 2020","Sun Nov 29 23:05:04 GMT 2020","52","","","","","","5 Validate left menu -- @1.5 ",""
"skipped","Sun Nov 29 23:05:03 GMT 2020","Sun Nov 29 23:05:03 GMT 2020","54","","","","","","1 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 23:03:00 GMT 2020","Sun Nov 29 23:03:43 GMT 2020","43511","","","","","","10 Validate search",""
"skipped","Sun Nov 29 23:05:01 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","52","","","","","","Validate left menu -- @1.1 ",""
"skipped","Sun Nov 29 23:05:05 GMT 2020","Sun Nov 29 23:05:05 GMT 2020","68","","","","","","6 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 23:05:41 GMT 2020","Sun Nov 29 23:05:45 GMT 2020","3484","","","","","","8 Validate left menu -- @1.5 ",""
"skipped","Sun Nov 29 23:05:01 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","86","","","","","","7 Validate left menu -- @1.3 ",""
"skipped","Sun Nov 29 23:05:01 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","52","","","","","","Validate left menu -- @1.2 ",""
"skipped","Sun Nov 29 23:05:01 GMT 2020","Sun Nov 29 23:05:01 GMT 2020","53","","","","","","Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 23:05:26 GMT 2020","Sun Nov 29 23:05:33 GMT 2020","7233","","","","","","9 Validate left menu -- @1.2 ",""
"broken","Sun Nov 29 23:03:43 GMT 2020","Sun Nov 29 23:05:06 GMT 2020","82629","","","","","","10 Validate left menu -- @1.1 ",""
"skipped","Sun Nov 29 23:05:02 GMT 2020","Sun Nov 29 23:05:03 GMT 2020","54","","","","","","1 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 23:05:33 GMT 2020","Sun Nov 29 23:05:38 GMT 2020","5024","","","","","","9 Validate left menu -- @1.3 ",""
"skipped","Sun Nov 29 23:05:08 GMT 2020","Sun Nov 29 23:05:08 GMT 2020","55","","","","","","3 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 23:05:38 GMT 2020","Sun Nov 29 23:05:41 GMT 2020","3589","","","","","","8 Validate left menu -- @1.4 ",""
"skipped","Sun Nov 29 23:05:06 GMT 2020","Sun Nov 29 23:05:06 GMT 2020","54","","","","","","4 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 23:05:41 GMT 2020","Sun Nov 29 23:05:44 GMT 2020","3563","","","","","","9 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 23:05:21 GMT 2020","Sun Nov 29 23:05:26 GMT 2020","4389","","","","","","9 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 23:03:02 GMT 2020","Sun Nov 29 23:05:05 GMT 2020","123457","","","","","","6 Validate search",""
